2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
6	2	7	0	10	7	3.373E+002	88024.54	          
6	2	7	0	11	7	6.382E+002	86281.30	          
6	2	7	0	12	7	2.217E+001	84756.60	          
6	2	7	0	13	7	6.583E-002	83471.09	          
6	2	7	0	14	7	6.355E-002	82455.10	          
6	2	7	0	15	7	2.802E+000	81749.69	          
6	2	8	0	0	8	6.429E+007	115128.14	-5.81
6	2	8	0	1	8	2.295E+007	111631.15	          
6	2	8	0	2	8	1.367E+007	108309.20	          
6	2	8	0	3	8	4.800E+007	105159.49	          
6	2	8	0	4	8	2.011E+006	102179.28	          
6	2	8	0	5	8	4.097E+007	99370.10	          
6	2	8	0	6	8	8.888E+007	96730.69	          
6	2	8	0	7	8	4.986E+007	94264.33	          
6	2	8	0	8	8	1.003E+007	91975.83	          
6	2	8	0	9	8	5.379E+005	89870.58	          
6	2	8	0	10	8	1.968E+001	87958.04	          
6	2	8	0	11	8	5.103E+002	86250.36	          
6	2	8	0	12	8	1.072E+001	84764.26	          
6	2	8	0	13	8	2.307E-001	83523.30	          
6	2	8	0	14	8	8.991E-003	82558.86	          
6	2	8	0	15	8	2.596E+001	81919.25	          
6	2	9	0	0	9	6.381E+007	114729.54	          
6	2	9	0	1	9	2.308E+007	111265.24	          
6	2	9	0	2	9	1.347E+007	107975.17	          
6	2	9	0	3	9	4.784E+007	104856.79	          
6	2	9	0	4	9	1.993E+006	101908.60	          
6	2	9	0	5	9	4.124E+007	99130.34	          
6	2	9	0	6	9	8.915E+007	96523.11	          
6	2	9	0	7	9	4.944E+007	94089.58	          
6	2	9	0	8	9	9.644E+006	91834.28	          
6	2	9	0	9	9	4.748E+005	89764.03	          
6	2	9	0	10	9	1.040E+002	87888.47	          
6	2	9	0	11	9	5.370E+002	86220.85	          
6	2	9	0	12	9	3.670E+001	84779.29	          
6	2	9	0	13	9	7.423E-001	83588.68	          
6	2	9	0	14	9	3.532E-005	82684.50	          
6	2	10	0	0	10	6.269E+007	114295.94	          
6	2	10	0	1	10	2.350E+007	110867.44	          
6	2	10	0	2	10	1.283E+007	107612.56	          
6	2	10	0	3	10	4.772E+007	104528.94	          
6	2	10	0	4	10	2.127E+006	101615.32	          
6	2	10	0	5	10	4.106E+007	98871.71	          
6	2	10	0	6	10	8.947E+007	96299.50	          
6	2	10	0	7	10	4.921E+007	93901.73	          
6	2	10	0	8	10	9.281E+006	91683.38	          
6	2	10	0	9	10	4.054E+005	89651.85	          
6	2	10	0	10	10	7.274E+002	87817.53	          
6	2	10	0	11	10	4.681E+002	86194.74	          
6	2	10	0	12	10	4.690E+001	84803.09	          
6	2	10	0	13	10	2.587E+000	83669.97	          
6	2	10	0	14	10	2.366E-002	82835.74	          
6	3	1	0	0	1	6.292E+007	118509.67	-0.77
6	3	1	0	1	1	1.132E+006	114881.36	          
6	3	1	0	2	1	3.723E+007	111430.63	          
6	3	1	0	3	1	7.351E+006	108153.47	          
6	3	1	0	4	1	2.585E+007	105047.92	          
6	3	1	0	5	1	2.963E+007	102112.42	          
6	3	1	0	6	1	4.491E+006	99346.89	          
6	3	1	0	7	1	7.470E+007	96752.46	          
6	3	1	0	8	1	7.462E+007	94331.93	          
6	3	1	0	9	1	2.127E+007	92089.88	          
6	3	1	0	10	1	1.501E+006	90033.14	          
6	3	1	0	11	1	2.133E+002	88170.97	          
6	3	1	0	12	1	2.471E+003	86516.48	          
6	3	1	0	13	1	1.624E+002	85086.30	          
6	3	1	0	14	1	2.192E+000	83904.29	          
6	3	1	0	15	1	1.187E+000	82999.53	          
6	3	1	0	16	1	4.670E+000	82412.75	          
6	3	1	0	17	1	1.105E+002	82192.80	          
6	3	2	0	0	2	6.286E+007	118408.70	-3.48
6	3	2	0	1	2	1.136E+006	114788.12	          
6	3	2	0	2	2	3.710E+007	111344.76	          
6	3	2	0	3	2	7.382E+006	108075.14	          
6	3	2	0	4	2	2.582E+007	104976.90	          
6	3	2	0	5	2	2.962E+007	102048.67	          
