2 4 29 // magic number - today's date
# HD X rovibrational transition probabilities (25 June 2002, PCS)
# P. C. Stancil (2002, unpublished)
#
# NB - these are preliminary and may not be consistent with energy_X.dat!!!
#
# See P. C. Stancil & A. Dalgarno, ApJ 490, 76 (1997) for
#     details on the potential. Quadrupole moment from
#     L. Wolniewicz, I. Simbotin, & A. Dalgarno, ApJS 115, 293 (1998)
# for  X-X transition
#
#n1	v1	J1	n0	v0	J0	A
0	2	19	0	1	19	7.3779E-08
0	2	19	0	1	20	1.0129E-06
0	2	19	0	1	21	8.4772E-11
0	2	19	0	2	17	7.6854E-07
0	2	19	0	2	18	1.0239E-04
0	2	20	0	0	18	4.1830E-08
0	2	20	0	0	19	3.2229E-05
0	2	20	0	0	20	3.4163E-08
0	2	20	0	0	21	3.1609E-08
0	2	20	0	0	22	2.2825E-12
0	2	20	0	1	18	6.5413E-08
0	2	20	0	1	19	1.4374E-04
0	2	20	0	1	20	6.6243E-08
0	2	20	0	1	21	1.0274E-06
0	2	20	0	1	22	3.0658E-11
0	2	20	0	2	18	8.7690E-07
0	2	20	0	2	19	1.0623E-04
0	2	21	0	0	19	3.0569E-08
0	2	21	0	0	20	2.9983E-05
0	2	21	0	0	21	3.2991E-08
0	2	21	0	0	22	6.6735E-08
0	2	21	0	0	23	3.2844E-12
0	2	21	0	1	19	1.1565E-07
0	2	21	0	1	20	1.4092E-04
0	2	21	0	1	21	5.8981E-08
0	2	21	0	1	22	1.0156E-06
0	2	21	0	1	23	8.9508E-12
0	2	21	0	2	19	9.8273E-07
0	2	21	0	2	20	1.0902E-04
0	2	22	0	0	20	2.0668E-08
0	2	22	0	0	21	2.7805E-05
0	2	22	0	0	22	3.1751E-08
0	2	22	0	0	23	1.0639E-07
0	2	22	0	0	24	3.2713E-12
0	2	22	0	1	20	1.7955E-07
0	2	22	0	1	21	1.3743E-04
0	2	22	0	1	22	5.2041E-08
0	2	22	0	1	23	9.8114E-07
0	2	22	0	1	24	1.8559E-12
0	2	22	0	2	20	1.0831E-06
0	2	22	0	2	21	1.1073E-04
0	2	23	0	0	21	1.2435E-08
0	2	23	0	0	22	2.5759E-05
0	2	23	0	0	23	3.0444E-08
0	2	23	0	0	24	1.4501E-07
0	2	23	0	0	25	2.4740E-12
0	2	23	0	1	21	2.5609E-07
0	2	23	0	1	22	1.3341E-04
0	2	23	0	1	23	4.5464E-08
0	2	23	0	1	24	9.2728E-07
0	2	23	0	1	25	2.0319E-13
0	2	23	0	2	21	1.1751E-06
0	2	23	0	2	22	1.1137E-04
0	2	24	0	0	22	6.1276E-09
0	2	24	0	0	23	2.3884E-05
0	2	24	0	0	24	2.9072E-08
0	2	24	0	0	25	1.7851E-07
0	2	24	0	0	26	1.3667E-12
0	2	24	0	1	22	3.4383E-07
0	2	24	0	1	23	1.2901E-04
0	2	24	0	1	24	3.9283E-08
0	2	24	0	1	25	8.5767E-07
0	2	24	0	1	26	4.2819E-15
0	2	24	0	2	22	1.2560E-06
0	2	24	0	2	23	1.1096E-04
0	2	25	0	0	23	1.9570E-09
0	2	25	0	0	24	2.2196E-05
0	2	25	0	0	25	2.7636E-08
0	2	25	0	0	26	2.0475E-07
0	2	25	0	0	27	4.2693E-13
0	2	25	0	1	23	4.4098E-07
0	2	25	0	1	24	1.2437E-04
0	2	25	0	1	25	3.3530E-08
0	2	25	0	1	26	7.7614E-07
0	2	25	0	2	23	1.3234E-06
0	2	25	0	2	24	1.0955E-04
0	2	26	0	0	24	9.0844E-11
0	2	26	0	0	25	2.0686E-05
0	2	26	0	0	26	2.6137E-08
0	2	26	0	0	27	2.2349E-07
0	2	26	0	0	28	5.6504E-15
0	2	26	0	1	24	5.4545E-07
0	2	26	0	1	25	1.1960E-04
0	2	26	0	1	26	2.8226E-08
0	2	26	0	1	27	6.8673E-07
0	2	26	0	2	24	1.3751E-06
0	2	26	0	2	25	1.0720E-04
0	2	27	0	0	25	6.6188E-10
0	2	27	0	0	26	1.9327E-05
0	2	27	0	0	27	2.4578E-08
0	2	27	0	0	28	2.3591E-07
0	2	27	0	0	29	2.7324E-13
0	2	27	0	1	25	6.5485E-07
0	2	27	0	1	26	1.1479E-04
0	2	27	0	1	27	2.3391E-08
0	2	27	0	1	28	5.9349E-07
0	2	27	0	2	25	1.4090E-06
0	2	27	0	2	26	1.0396E-04
0	2	27	0	3	25	6.6339E-16
0	2	28	0	0	26	3.7757E-09
0	2	28	0	0	27	1.8086E-05
0	2	28	0	0	28	2.2960E-08
0	2	28	0	0	29	2.4393E-07
0	2	28	0	0	30	1.2163E-12
0	2	28	0	1	26	7.6656E-07
0	2	28	0	1	27	1.1000E-04
0	2	28	0	1	28	1.9036E-08
0	2	28	0	1	29	5.0025E-07
0	2	28	0	2	26	1.4238E-06
0	2	28	0	2	27	9.9907E-05
0	2	28	0	3	26	8.6640E-14
0	2	29	0	0	27	9.5187E-09
0	2	29	0	0	28	1.6926E-05
0	2	29	0	0	29	2.1284E-08
0	2	29	0	0	30	2.4952E-07
0	2	29	0	0	31	2.6657E-12
0	2	29	0	1	27	8.7768E-07
0	2	29	0	1	28	1.0523E-04
0	2	29	0	1	29	1.5165E-08
0	2	29	0	1	30	4.1043E-07
0	2	29	0	2	27	1.4184E-06
0	2	29	0	2	28	9.5099E-05
0	2	29	0	3	27	9.1963E-13
0	2	30	0	0	28	1.7966E-08
0	2	30	0	0	29	1.5818E-05
0	2	30	0	0	30	1.9552E-08
0	2	30	0	0	31	2.5417E-07
0	2	30	0	0	32	4.3435E-12
0	2	30	0	1	28	9.8511E-07
0	2	30	0	1	29	1.0048E-04
