2002 10 22 date incorporated - used by code to verify proper file is used
#
# This data, together with the fits generated by Nick Abel,
# constitute the UTA inner shell treatment in the code.
# This data file is based on files provided by Ehud Behar,
# and was originally published in
# >>refer	Fe	inner shell	Behar, E., Sako, M, Kahn, S.M., 
# >>refercon	2001, ApJ, 563, 497-504
# the fits were based on the paper
# >>refer	Fe	inner shell	Behar, E., & Netzer, H., 2002, ApJ, 570, 165-170
#
# all lines starting with # are comments and are ignored
# data are tab delimited
# these are all Fe lines - ion is stage of ionization, 0 is atom
#
# for atomic iron the statistical weights are given, since they were included
# in the original data file from Ehud.  These are zero in all other stages of
# ionization since they were not provided
#
# the last number is the absorption oscillator strength
#
#ion	g(u)	g(l)	wl	A	A/(A+A^a)	f
1	0	0	17.0869	5.6670E+09	1.3768E-05	2.4800E-04
1	0	0	17.1661	6.8360E+09	1.7582E-05	2.4160E-04
1	0	0	17.3267	5.9460E+09	1.2192E-05	2.1410E-04
1	0	0	17.4451	4.7590E+09	1.5879E-05	1.7370E-04
1	0	0	17.0886	4.4200E+09	1.1044E-05	1.5480E-04
1	0	0	17.3109	3.1070E+09	7.7481E-06	1.3960E-04
1	0	0	17.3793	3.7190E+09	9.0004E-06	1.3470E-04
1	0	0	17.2797	2.9980E+09	9.9106E-06	1.3420E-04
1	0	0	17.0577	2.3930E+09	5.4609E-06	1.2530E-04
1	0	0	17.0064	3.5360E+09	8.2462E-06	1.2270E-04
1	0	0	17.4213	3.0050E+09	8.4862E-06	1.0940E-04
1	0	0	17.1197	2.6010E+09	6.3501E-06	9.1430E-05
1	0	0	17.1440	2.4180E+09	4.8760E-06	8.5230E-05
1	0	0	17.3330	1.2760E+09	2.8941E-06	6.8950E-05
1	0	0	17.4846	1.8740E+09	5.5757E-06	6.8720E-05
1	0	0	17.3666	1.3290E+09	3.6055E-06	6.0120E-05
1	0	0	17.3917	1.2780E+09	2.6681E-06	5.7970E-05
1	0	0	17.0518	1.1620E+09	2.6572E-06	5.0650E-05
1	0	0	17.3805	8.9670E+08	2.2834E-06	4.8730E-05
1	0	0	17.2463	1.1320E+09	3.2454E-06	4.0370E-05
1	0	0	17.3659	1.1080E+09	2.7217E-06	4.0070E-05
1	0	0	17.2700	1.0610E+09	3.4050E-06	3.7960E-05
1	0	0	17.4684	8.8690E+08	2.8245E-06	3.2460E-05
1	0	0	17.4364	6.9470E+08	2.4214E-06	3.1660E-05
1	0	0	17.2793	6.5950E+08	2.0950E-06	2.3620E-05
1	0	0	17.3097	5.5300E+08	1.3452E-06	1.9870E-05
1	0	0	17.3424	3.5900E+08	9.6661E-07	1.2950E-05
1	0	0	16.9697	3.0560E+08	8.7016E-07	1.0560E-05
1	0	0	17.0612	2.7260E+08	6.5434E-07	9.5200E-06
1	0	0	17.1349	7.2560E+07	2.2444E-07	2.5550E-06
1	0	0	17.0306	3.8160E+07	1.0272E-07	1.3270E-06
1	0	0	17.0642	3.0880E+07	6.3072E-08	1.0780E-06
1	0	0	17.3565	2.1940E+07	4.0918E-08	7.9260E-07
1	0	0	17.3344	1.7590E+07	4.1673E-08	6.3410E-07
1	0	0	17.3306	8.1700E+06	1.8526E-08	3.6790E-07
2	0	0	17.4116	3.1340E+12	7.5969E-03	1.1080E-01
2	0	0	17.4336	1.3600E+12	4.3792E-03	6.1940E-02
2	0	0	17.4527	9.4270E+11	2.8702E-03	5.2620E-02
2	0	0	17.4250	8.5700E+11	3.2308E-03	3.9010E-02
2	0	0	17.1107	6.8110E+11	2.0641E-03	2.9900E-02
2	0	0	17.4436	6.2770E+11	1.8455E-03	2.8630E-02
2	0	0	17.3690	5.1290E+11	1.2071E-03	2.3200E-02
2	0	0	17.4904	3.9430E+11	1.5970E-03	2.2100E-02
2	0	0	17.4752	4.8240E+11	1.7224E-03	2.2090E-02
2	0	0	17.3177	3.0260E+11	9.1281E-04	1.3600E-02
2	0	0	17.4348	3.4810E+11	9.3413E-04	1.2340E-02
2	0	0	17.0976	2.7520E+11	8.4398E-04	1.2070E-02
2	0	0	17.1323	2.0370E+11	6.9167E-04	1.0960E-02
2	0	0	17.3690	1.8890E+11	4.2298E-04	1.0450E-02
2	0	0	17.4553	2.7370E+11	9.0697E-04	9.7260E-03
2	0	0	17.1475	1.9710E+11	5.7164E-04	8.6870E-03
2	0	0	17.3704	2.4100E+11	6.1646E-04	8.4790E-03
2	0	0	17.4231	2.3490E+11	6.7610E-04	8.3140E-03
2	0	0	17.3876	1.4270E+11	4.1405E-04	7.9070E-03
2	0	0	17.1235	1.7800E+11	6.4405E-04	6.0860E-03
2	0	0	17.0965	9.9310E+10	5.0233E-04	4.3520E-03
2	0	0	17.1143	9.8770E+10	5.6765E-04	4.3380E-03
2	0	0	17.1203	1.2030E+11	5.1013E-04	4.1110E-03
2	0	0	17.3471	1.1210E+11	2.2821E-04	3.9320E-03
2	0	0	17.3135	8.7130E+10	6.2064E-04	3.9160E-03
2	0	0	17.3565	1.0380E+11	2.7417E-04	3.6480E-03
2	0	0	17.1027	7.8830E+10	4.2025E-04	3.4580E-03
2	0	0	17.4079	6.2080E+10	2.0119E-04	3.4480E-03
2	0	0	17.1565	9.3660E+10	2.8899E-04	3.2140E-03
2	0	0	17.1092	5.5170E+10	3.7389E-04	2.4210E-03
2	0	0	17.0973	4.3010E+10	1.3393E-04	2.3030E-03
2	0	0	17.1303	4.0380E+10	1.8186E-04	2.1710E-03
2	0	0	17.3907	4.5840E+10	1.2445E-04	2.0790E-03
2	0	0	17.3386	5.7600E+10	1.2348E-04	2.0190E-03
2	0	0	17.0597	3.5350E+10	8.1917E-05	1.8860E-03
2	0	0	17.3490	3.7210E+10	7.8795E-05	1.6790E-03
2	0	0	17.1343	3.5200E+10	1.7694E-04	1.5490E-03
2	0	0	17.0607	3.2060E+10	8.0526E-05	1.3990E-03
2	0	0	17.0476	2.9510E+10	7.4439E-05	1.2860E-03
2	0	0	17.3335	2.6630E+10	6.8033E-05	1.2000E-03
2	0	0	17.0441	2.7030E+10	8.6295E-05	9.1570E-04
2	0	0	17.2539	2.6230E+10	5.5172E-05	9.1070E-04
2	0	0	17.0668	2.5810E+10	7.0785E-05	8.7660E-04
2	0	0	16.9934	1.3990E+10	1.2591E-04	7.4040E-04
2	0	0	17.0352	2.0200E+10	7.4671E-05	6.8330E-04
2	0	0	17.1262	1.8630E+10	1.1805E-04	6.3720E-04
2	0	0	17.4654	1.7890E+10	5.6845E-05	6.3620E-04
2	0	0	17.3410	1.0590E+10	6.6643E-04	5.8340E-04
