!MOLECULE
CH3OH                                                                   
!MOLECULAR WEIGHT
32
! NUMBER OF ENERGY LEVELS
312
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J_k_v
  203    34    31  7.459E-10         147.42765100    70.18
  204   178   176  9.045E-06         147.94363000   348.40
  205   132   130  8.852E-06         148.11188000   282.84
  206    90    88  4.071E-08         148.63240600   193.02
  207   122   118  5.638E-06         149.53259000   258.23
  208   117   113  1.017E-05         150.14168000   248.24
  209    84    81  5.863E-06         150.88458000   178.53
  210   265   255  1.425E-07         151.37083700   444.04
  211   101    98  1.152E-05         151.86032000   215.92
  212   145   137  5.300E-06         152.44314000   298.48
  213    88    84  1.288E-05         153.28124000   185.89
  214    14    10  3.028E-10         153.85872600    28.27
  215    73    70  1.422E-05         154.42578000   158.15
  216    62    60  1.550E-05         155.32092000   132.70
  217    51    47  1.670E-05         155.99752000   109.56
  218   270   265  2.602E-07         156.17141000   451.53
  219    42    39  1.780E-05         156.48886800    88.71
  220    34    29  1.878E-05         156.82853300    70.18
  221    27    22  1.964E-05         157.04862500    53.95
  222    20    17  2.038E-05         157.17901700    40.04
  223    15    10  2.098E-05         157.24605600    28.44
  224     4     1  2.205E-05         157.27085100     7.55
  225     8     5  2.146E-05         157.27236900    19.15
  226     6     2  2.181E-05         157.27605800    12.19
  227   175   168  5.024E-06         157.57496000   339.31
  228    60    54  1.560E-09         159.03015400   125.25
  229   126   122  7.344E-08         161.83065400   266.00
  230    35    32  4.674E-11         164.07425700    74.63
  231     7     4  2.349E-05         165.05019500    15.47
  232     9     6  2.342E-05         165.06115600    20.11
  233   233   225  5.382E-06         165.07432700   414.48
  234    13     8  2.332E-05         165.09927100    27.08
  235    18    15  2.321E-05         165.19053000    36.36
  236    23    20  2.308E-05         165.36944000    47.97
  237    28    27  2.295E-05         165.67877000    61.90
  238    24    21  3.854E-11         165.73646800    49.17
  239    51    46  1.959E-09         165.93367500   109.56
  240    37    34  2.285E-05         166.16921000    78.15
  241    44    42  2.277E-05         166.89865000    96.72
  242    54    51  2.274E-05         167.93113000   117.62
  243    50    44  1.224E-08         168.46393700   104.81
  244    18    14  4.382E-06         168.57786000    36.36
  245    65    62  2.280E-05         169.33534000   140.83
  246   138   133  4.131E-08         169.48826400   291.69
  247   179   176  1.560E-11         170.02472400   349.46
  248    14     9  2.552E-05         170.06058100    28.27
  249    78    73  2.295E-05         171.18258000   166.36
  250    79    74  8.363E-15         171.33929700   167.49
  251   281   270  9.077E-06         171.64084300   459.77
  252   244   234  3.457E-07         172.07321200   423.41
  253   128   123  5.946E-06         172.07937000   269.26
  254    34    28  1.161E-05         172.44595000    70.18
  255    92    88  2.323E-05         173.54471000   194.22
  256   105   101  2.366E-05         176.49158000   224.39
  257     9     5  1.296E-10         177.23974800    20.11
  258   107   104  4.629E-08         177.50300600   229.40
  259   121   117  2.427E-05         180.08855000   256.88
  260   220   212  1.042E-05         180.44002000   403.64
  261    70    66  8.042E-08         180.54485700   150.74
  262    29    27  2.006E-05         181.29603000    62.65
  263    21    17  9.019E-06         181.77105000    41.22
  264    97    94  1.088E-05         183.72012000   208.00
  265   138   132  2.510E-05         184.39354000   291.69
  266   226   218  4.866E-12         184.40999100   407.79
  267    61    56  4.616E-06         186.30095000   128.75
  268    28    25  2.847E-08         189.12192600    61.90
  269   166   159  2.617E-05         189.45588000   328.82
  270   291   285  3.378E-05         189.67965000   473.21
  271   141   135  3.533E-05         189.68876900   294.99
  272   267   254  3.402E-05         189.68957000   445.45
  273   148   136  3.529E-05         189.69025200   299.62
  274   149   144  3.523E-05         189.69211400   306.57
  275   155   150  3.514E-05         189.69437500   315.83
  276   239   230  3.424E-05         189.69581400   419.99
  277   164   157  3.504E-05         189.69671800   327.41
  278   176   169  3.493E-05         189.69878200   341.30
  279   215   206  3.444E-05         189.69932300   396.85
  280   184   178  3.479E-05         189.70022800   357.50
  281   200   192  3.463E-05         189.70049000   376.02
  282    11     6  3.193E-10         189.99558500    21.31
  283    14     8  1.141E-09         190.02801500    28.27
  284    19    15  8.888E-10         190.12401900    37.56
  285    24    20  2.189E-09         190.32849500    49.17
  286   307   297  3.040E-07         190.45232300   490.02
  287    31    27  2.484E-09         190.69684700    63.10
  288    38    34  3.259E-09         191.29404300    79.36
  289    41    38  8.792E-06         191.73305000    88.56
  290    45    42  4.374E-09         192.19305500    97.94
  291   174   165  1.307E-05         192.95270000   337.88
  292   251   244  1.315E-05         192.95768000   432.67
  293   203   197  2.259E-05         192.96210000   379.86
  294   150   144  2.815E-05         192.97208000   306.73
  295   234   224  2.259E-05         192.97368700   415.15
  296   155   149  3.007E-05         192.97436000   315.83
  297   247   238  2.815E-05         192.99603000   428.63
  298    15     8  3.025E-05         193.41536700    28.44
  299    10     5  2.839E-05         193.44161000    20.89
  300    55    51  4.880E-09         193.47252400   118.84
  301    30    26  1.325E-05         193.47433000    63.03
  302    36    33  1.331E-05         193.48899000    78.02
  303    18    13  2.914E-05         193.50660000    36.36
  304    21    16  2.275E-05         193.51123300    41.22
  305    19    14  2.246E-05         193.51133500    37.56
  306    79    73  6.573E-08         194.56967400   167.49
  307    42    38  2.537E-09         194.95362600    88.71
  308    66    62  5.772E-09         195.21355400   142.07
  309   193   186  2.753E-05         195.31435000   368.26
  310   192   184  2.101E-05         196.14639700   366.92
  311    98    94  1.273E-05         196.96337700   208.63
  312   227   219  4.511E-07         197.37609200   409.80
